datetime,man
2004-03-01 13:00:00,0.1
2004-03-01 15:00:00,0.1
2004-03-01 17:00:00,0.1
2004-03-01 19:00:00,0.1
2004-03-01 21:00:00,0.1
2004-03-01 23:00:00,0.1
2004-03-02 15:00:00,0.1
2004-03-02 17:00:00,0.1
2004-03-02 19:00:00,0.1
2004-03-02 21:00:00,0.1
2004-03-03 17:00:00,0.1
2004-03-03 19:00:00,0.1
2004-03-03 21:00:00,0.1
2004-03-03 23:00:00,0.1
2004-03-08 01:00:00,0.3
2004-03-08 03:00:00,0.5
2004-03-08 05:00:00,0.9
2004-03-08 07:00:00,1.0
2004-03-08 09:00:00,0.8
2004-03-08 11:00:00,0.3
2004-03-08 13:00:00,0.2
2004-03-08 15:00:00,0.1
2004-03-08 17:00:00,0.3
2004-03-08 19:00:00,0.8
2004-03-08 21:00:00,0.6
2004-03-08 23:00:00,0.2
2004-03-09 01:00:00,0.2
2004-03-09 03:00:00,0.2
2004-03-09 05:00:00,0.8
2004-03-09 07:00:00,1.0
2004-03-09 09:00:00,0.8
2004-03-09 11:00:00,0.2
2004-03-09 13:00:00,0.2
2004-03-09 15:00:00,0.1
2004-03-09 17:00:00,0.2
2004-03-09 19:00:00,0.7
2004-03-09 21:00:00,0.7
2004-03-09 23:00:00,0.2
2004-03-10 01:00:00,0.1
2004-03-10 03:00:00,0.1
2004-03-10 05:00:00,0.2
2004-03-10 07:00:00,1.3
2004-03-10 09:00:00,0.9
2004-03-10 11:00:00,0.2
2004-03-10 13:00:00,0.1
2004-03-10 15:00:00,0.1
2004-03-10 17:00:00,0.1
2004-03-10 19:00:00,0.8
2004-03-10 21:00:00,0.7
2004-03-10 23:00:00,0.2
2004-03-11 01:00:00,0.1
2004-03-11 03:00:00,0.1
2004-03-11 05:00:00,0.1
2004-03-11 07:00:00,0.5
2004-03-11 09:00:00,0.8
2004-03-11 11:00:00,0.2
2004-03-11 13:00:00,0.1
2004-03-11 15:00:00,0.1
2004-03-11 17:00:00,0.1
2004-03-11 19:00:00,1.0
2004-03-11 21:00:00,0.9
2004-03-11 23:00:00,0.2
2004-03-15 01:00:00,0.2
2004-03-15 03:00:00,0.1
2004-03-15 05:00:00,0.1
2004-03-15 07:00:00,0.1
2004-03-15 09:00:00,0.1
2004-03-15 11:00:00,0.2
2004-03-15 13:00:00,0.3
2004-03-15 15:00:00,0.3
2004-03-15 17:00:00,0.5
2004-03-15 19:00:00,0.3
2004-03-15 21:00:00,0.2
2004-03-15 23:00:00,0.2
2004-03-16 01:00:00,0.2
2004-03-16 03:00:00,0.1
2004-03-16 05:00:00,0.1
2004-03-16 07:00:00,0.1
2004-03-16 09:00:00,0.1
2004-03-16 11:00:00,0.1
2004-03-16 13:00:00,0.2
2004-03-16 15:00:00,0.2
2004-03-16 17:00:00,0.4
2004-03-16 19:00:00,0.6
2004-03-16 21:00:00,0.4
2004-03-16 23:00:00,0.3
2004-03-17 01:00:00,0.3
2004-03-17 03:00:00,0.2
2004-03-17 05:00:00,0.1
2004-03-17 07:00:00,0.1
2004-03-17 09:00:00,0.1
2004-03-17 11:00:00,0.1
2004-03-17 13:00:00,0.1
2004-03-17 15:00:00,0.1
2004-03-17 17:00:00,0.2
2004-03-17 19:00:00,0.3
2004-03-17 21:00:00,0.2
2004-03-17 23:00:00,0.1
2004-03-19 01:00:00,0.1
2004-03-19 03:00:00,0.3
2004-03-19 05:00:00,0.3
2004-03-19 07:00:00,0.2
2004-03-19 09:00:00,0.1
2004-03-19 11:00:00,0.1
2004-03-19 13:00:00,0.1
2004-03-19 15:00:00,0.1
2004-03-19 17:00:00,0.2
2004-03-19 19:00:00,0.2
2004-03-19 21:00:00,0.2
2004-03-19 23:00:00,0.1
2004-03-20 01:00:00,0.1
2004-03-20 03:00:00,0.3
2004-03-20 05:00:00,0.6
