datetime,man
1995-02-02 01:00:00,0.7
1995-02-02 02:00:00,0.8
1995-02-02 03:00:00,0.4
1995-02-02 04:00:00,0.2
1995-02-02 05:00:00,0.4
1995-02-02 06:00:00,0.9
1995-02-02 07:00:00,0.9
1995-02-02 08:00:00,0.5
1995-02-02 09:00:00,0.4
1995-02-02 10:00:00,0.4
1995-02-02 11:00:00,0.4
1995-02-02 12:00:00,0.4
1995-02-02 13:00:00,0.3
1995-02-02 14:00:00,0.3
1995-02-02 15:00:00,0.2
1995-02-02 16:00:00,0.2
1995-02-02 17:00:00,0.3
1995-02-02 18:00:00,0.8
1995-02-02 19:00:00,1.2
1995-02-02 20:00:00,1.6
1995-02-02 21:00:00,2.0
1995-02-02 22:00:00,1.8
1995-02-02 23:00:00,1.7
1995-02-03 00:00:00,1.7
1995-02-09 01:00:00,1.8
1995-02-09 02:00:00,1.6
1995-02-09 03:00:00,1.4
1995-02-09 04:00:00,1.4
1995-02-09 05:00:00,0.9
1995-02-09 06:00:00,0.9
1995-02-09 07:00:00,1.4
1995-02-09 08:00:00,1.6
1995-02-09 09:00:00,1.8
1995-02-09 10:00:00,1.9
1995-02-09 11:00:00,2.1
1995-02-09 12:00:00,2.4
1995-02-09 13:00:00,2.4
1995-02-09 14:00:00,2.0
1995-02-09 15:00:00,2.0
1995-02-09 16:00:00,2.0
1995-02-09 17:00:00,2.0
1995-02-09 18:00:00,2.1
1995-02-09 19:00:00,2.1
1995-02-09 20:00:00,2.2
1995-02-09 21:00:00,2.2
1995-02-09 22:00:00,2.1
1995-02-09 23:00:00,2.1
1995-02-10 00:00:00,2.2
1995-02-19 01:00:00,0.1
1995-02-19 02:00:00,0.4
1995-02-19 03:00:00,0.7
1995-02-19 04:00:00,0.7
1995-02-19 05:00:00,1.4
1995-02-19 06:00:00,1.6
1995-02-19 07:00:00,1.9
1995-02-19 08:00:00,1.5
1995-02-19 09:00:00,1.5
1995-02-19 10:00:00,1.0
1995-02-19 11:00:00,0.5
1995-02-19 12:00:00,0.3
1995-02-19 13:00:00,0.1
1995-02-19 14:00:00,0.1
1995-02-19 15:00:00,0.6
1995-02-19 16:00:00,1.2
1995-02-19 17:00:00,1.4
1995-02-19 18:00:00,1.7
1995-02-19 19:00:00,2.0
1995-02-19 20:00:00,1.5
1995-02-19 21:00:00,1.2
1995-02-19 22:00:00,0.7
1995-02-19 23:00:00,0.6
1995-02-20 00:00:00,0.6
1995-02-23 01:00:00,1.5
1995-02-23 02:00:00,1.4
1995-02-23 03:00:00,1.4
1995-02-23 04:00:00,1.4
1995-02-23 05:00:00,1.5
1995-02-23 06:00:00,1.6
1995-02-23 07:00:00,1.7
1995-02-23 08:00:00,1.9
1995-02-23 09:00:00,2.1
1995-02-23 10:00:00,2.3
1995-02-23 11:00:00,2.2
1995-02-23 12:00:00,2.2
1995-02-23 13:00:00,1.8
1995-02-23 14:00:00,1.4
1995-02-23 15:00:00,1.2
1995-02-23 16:00:00,1.4
1995-02-23 17:00:00,1.6
1995-02-23 18:00:00,1.6
1995-02-23 19:00:00,1.8
1995-02-23 20:00:00,2.2
1995-02-23 21:00:00,2.5
1995-02-23 22:00:00,2.6
1995-02-23 23:00:00,2.5
1995-02-24 00:00:00,2.3
1995-03-04 01:00:00,0.7
1995-03-04 02:00:00,1.0
1995-03-04 03:00:00,1.4
1995-03-04 04:00:00,1.4
1995-03-04 05:00:00,1.5
1995-03-04 06:00:00,1.9
1995-03-04 07:00:00,1.7
1995-03-04 08:00:00,1.7
1995-03-04 09:00:00,1.5
1995-03-04 10:00:00,0.9
1995-03-04 11:00:00,0.9
1995-03-04 12:00:00,0.1
1995-03-04 13:00:00,0.1
1995-03-04 14:00:00,0.7
1995-03-04 15:00:00,1.0
1995-03-04 16:00:00,1.4
1995-03-04 17:00:00,1.8
1995-03-04 18:00:00,2.5
1995-03-04 19:00:00,2.0
1995-03-04 20:00:00,1.3
1995-03-04 21:00:00,1.2
1995-03-04 22:00:00,0.4
1995-03-04 23:00:00,0.4
1995-03-05 00:00:00,0.3
1995-03-10 01:00:00,1.7
1995-03-10 02:00:00,1.5
1995-03-10 03:00:00,1.0
1995-03-10 04:00:00,0.5
1995-03-10 05:00:00,0.1
1995-03-10 06:00:00,0.1
1995-03-10 07:00:00,0.4
1995-03-10 08:00:00,0.7
1995-03-10 09:00:00,1.1
1995-03-10 10:00:00,1.4
1995-03-10 11:00:00,1.8
1995-03-10 12:00:00,1.6
1995-03-10 13:00:00,1.3
1995-03-10 14:00:00,1.0
1995-03-10 15:00:00,0.4
1995-03-10 16:00:00,0.4
1995-03-10 17:00:00,0.1
1995-03-10 18:00:00,0.1
1995-03-10 19:00:00,0.7
1995-03-10 20:00:00,0.8
1995-03-10 21:00:00,1.3
1995-03-10 22:00:00,1.4
1995-03-10 23:00:00,1.9
1995-03-11 00:00:00,1.9
1995-03-20 01:00:00,1.9
1995-03-20 02:00:00,2.7
1995-03-20 03:00:00,3.6
1995-03-20 04:00:00,4.1
1995-03-20 05:00:00,5.2
1995-03-20 06:00:00,6.9
1995-03-20 07:00:00,8.8
1995-03-20 08:00:00,8.0
1995-03-20 09:00:00,6.3
1995-03-20 10:00:00,6.1
1995-03-20 11:00:00,4.2
1995-03-20 12:00:00,4.0
1995-03-20 13:00:00,3.0
1995-03-20 14:00:00,3.8
1995-03-20 15:00:00,4.5
1995-03-20 16:00:00,5.1
1995-03-20 17:00:00,6.9
1995-03-20 18:00:00,8.0
1995-03-20 19:00:00,7.2
1995-03-20 20:00:00,6.1
1995-03-20 21:00:00,5.3
1995-03-20 22:00:00,5.0
1995-03-20 23:00:00,4.2
1995-03-21 00:00:00,4.1
1995-03-26 01:00:00,5.3
1995-03-26 02:00:00,4.2
1995-03-26 03:00:00,3.6
1995-03-26 04:00:00,2.5
1995-03-26 05:00:00,1.8
1995-03-26 06:00:00,2.0
1995-03-26 07:00:00,4.1
1995-03-26 08:00:00,5.7
1995-03-26 09:00:00,5.9
1995-03-26 10:00:00,7.4
1995-03-26 11:00:00,8.2
1995-03-26 12:00:00,8.0
1995-03-26 13:00:00,7.0
1995-03-26 14:00:00,5.2
1995-03-26 15:00:00,3.4
1995-03-26 16:00:00,3.0
1995-03-26 17:00:00,2.7
1995-03-26 18:00:00,2.9
1995-03-26 19:00:00,3.2
1995-03-26 20:00:00,5.7
1995-03-26 21:00:00,6.3
1995-03-26 22:00:00,7.3
1995-03-26 23:00:00,7.0
1995-03-27 00:00:00,6.1
1995-04-03 01:00:00,2.9
1995-04-03 02:00:00,3.2
1995-04-03 03:00:00,4.0
1995-04-03 04:00:00,4.7
1995-04-03 05:00:00,4.7
1995-04-03 06:00:00,5.3
1995-04-03 07:00:00,5.9
1995-04-03 08:00:00,5.4
1995-04-03 09:00:00,5.0
1995-04-03 10:00:00,3.4
1995-04-03 11:00:00,2.9
1995-04-03 12:00:00,2.5
1995-04-03 13:00:00,2.0
1995-04-03 14:00:00,2.7
1995-04-03 15:00:00,3.6
1995-04-03 16:00:00,4.1
1995-04-03 17:00:00,5.2
1995-04-03 18:00:00,5.9
1995-04-03 19:00:00,6.4
1995-04-03 20:00:00,6.0
1995-04-03 21:00:00,5.4
1995-04-03 22:00:00,5.0
1995-04-03 23:00:00,4.3
1995-04-04 00:00:00,3.7
1995-04-10 01:00:00,6.0
1995-04-10 02:00:00,5.5
1995-04-10 03:00:00,5.0
1995-04-10 04:00:00,4.0
1995-04-10 05:00:00,3.2
1995-04-10 06:00:00,2.2
1995-04-10 07:00:00,1.6
1995-04-10 08:00:00,1.8
1995-04-10 09:00:00,3.5
1995-04-10 10:00:00,4.2
1995-04-10 11:00:00,5.3
1995-04-10 12:00:00,6.5
1995-04-10 13:00:00,6.7
1995-04-10 14:00:00,6.4
1995-04-10 15:00:00,5.4
1995-04-10 16:00:00,4.1
1995-04-10 17:00:00,3.1
1995-04-10 18:00:00,2.4
1995-04-10 19:00:00,1.3
1995-04-10 20:00:00,1.5
1995-04-10 21:00:00,2.8
1995-04-10 22:00:00,3.3
1995-04-10 23:00:00,4.1
1995-04-11 00:00:00,4.8
1995-04-18 01:00:00,1.4
1995-04-18 02:00:00,2.7
1995-04-18 03:00:00,2.9
1995-04-18 04:00:00,3.7
1995-04-18 05:00:00,4.5
