datetime,man
1996-02-02 01:00:00,15.49
1996-02-02 03:00:00,4.38
1996-02-02 05:00:00,0.75
1996-02-02 07:00:00,5.19
1996-02-02 09:00:00,3.17
1996-02-02 11:00:00,1.96
1996-02-02 13:00:00,0.95
1996-02-02 15:00:00,0.65
1996-02-03 01:00:00,11.86
1996-02-03 03:00:00,6.4
1996-02-03 05:00:00,19.33
1996-02-03 07:00:00,6.2
1996-02-03 09:00:00,8.73
1996-02-03 11:00:00,4.99
1996-02-03 13:00:00,3.17
1996-02-03 15:00:00,1.15
1996-02-03 17:00:00,0.34
1996-02-03 19:00:00,0.24
1996-02-03 23:00:00,0.75
1996-02-10 05:00:00,0.65
1996-02-10 07:00:00,6.71
1996-02-10 09:00:00,2.67
1996-02-10 11:00:00,5.19
1996-02-10 13:00:00,0.65
1996-02-10 17:00:00,0.44
1996-02-10 19:00:00,2.97
1996-02-10 21:00:00,11.45
1996-02-10 23:00:00,13.88
1996-02-11 01:00:00,4.28
1996-02-11 03:00:00,4.08
1996-02-11 05:00:00,6.0
1996-02-11 07:00:00,7.21
1996-02-11 09:00:00,7.01
1996-02-11 11:00:00,3.17
1996-02-11 13:00:00,0.95
1996-02-11 17:00:00,0.14
1996-02-11 19:00:00,0.14
1996-02-11 21:00:00,1.45
1996-02-11 23:00:00,2.16
1996-02-18 09:00:00,2.67
1996-02-18 11:00:00,0.95
1996-02-19 03:00:00,0.04
1996-02-19 05:00:00,1.45
1996-02-19 07:00:00,0.65
1996-02-19 13:00:00,2.67
1996-02-20 05:00:00,5.7
1996-02-20 07:00:00,1.35
1996-02-20 09:00:00,0.34
1996-02-20 17:00:00,0.75
1996-02-20 19:00:00,0.04
1996-02-21 03:00:00,0.44
1996-02-21 05:00:00,8.22
1996-02-21 07:00:00,3.17
1996-02-21 09:00:00,4.38
1996-02-21 11:00:00,1.15
1996-02-21 13:00:00,0.04
1996-02-21 17:00:00,0.85
1996-02-21 19:00:00,0.65
1996-02-21 21:00:00,1.05
1996-02-22 07:00:00,6.2
1996-02-22 09:00:00,2.97
1996-02-22 11:00:00,3.37
1996-02-22 13:00:00,1.15
1996-02-22 17:00:00,2.16
1996-02-22 19:00:00,4.18
1996-02-22 21:00:00,9.23
1996-02-22 23:00:00,3.17
1996-02-23 01:00:00,4.38
1996-02-23 03:00:00,4.38
1996-02-23 05:00:00,4.18
1996-02-23 07:00:00,7.21
1996-02-23 09:00:00,4.99
1996-02-23 11:00:00,5.19
1996-02-23 13:00:00,6.4
1996-02-23 15:00:00,4.58
1996-02-23 17:00:00,4.18
1996-02-23 19:00:00,6.3
1996-02-23 21:00:00,7.21
1996-02-23 23:00:00,16.3
1996-02-24 01:00:00,7.72
1996-02-24 03:00:00,5.7
1996-02-24 05:00:00,5.39
1996-02-24 07:00:00,6.4
1996-03-02 01:00:00,8.22
1996-03-02 03:00:00,3.17
1996-03-02 05:00:00,1.35
1996-03-02 07:00:00,2.36
1996-03-02 09:00:00,0.65
1996-03-02 11:00:00,0.34
1996-03-02 13:00:00,1.05
1996-03-02 15:00:00,0.65
1996-03-02 17:00:00,0.04
1996-03-02 21:00:00,0.65
1996-03-02 23:00:00,2.16
1996-03-03 01:00:00,15.29
1996-03-03 03:00:00,16.3
1996-03-03 05:00:00,3.68
1996-03-03 07:00:00,5.7
1996-03-03 09:00:00,6.2
1996-03-03 11:00:00,4.18
1996-03-03 13:00:00,2.36
1996-03-03 15:00:00,1.15
1996-03-03 17:00:00,0.65
1996-03-03 23:00:00,1.66
1996-03-04 01:00:00,2.16
1996-03-04 03:00:00,3.37
1996-03-04 05:00:00,2.67
1996-03-04 07:00:00,1.96
1996-03-11 21:00:00,6.2
1996-03-11 23:00:00,3.17
1996-03-12 01:00:00,3.17
1996-03-12 03:00:00,2.16
1996-03-12 21:00:00,2.36
1996-03-12 23:00:00,12.46
1996-03-13 01:00:00,2.97
1996-03-13 03:00:00,3.17
1996-03-13 05:00:00,1.56
1996-03-13 07:00:00,0.34
1996-03-13 09:00:00,0.04
1996-03-13 23:00:00,9.23
1996-03-14 01:00:00,1.96
1996-03-14 03:00:00,4.18
1996-03-14 05:00:00,2.36
1996-03-16 03:00:00,0.54
1996-03-17 01:00:00,0.24
1996-03-17 03:00:00,3.17
1996-03-17 05:00:00,2.16
1996-03-24 19:00:00,0.04
1996-03-24 21:00:00,9.23
1996-03-24 23:00:00,1.96
1996-03-25 01:00:00,2.67
1996-03-25 03:00:00,3.17
1996-03-25 05:00:00,0.65
1996-03-25 07:00:00,0.04
1996-03-25 09:00:00,0.34
1996-03-25 11:00:00,0.44
1996-03-25 17:00:00,0.44
1996-03-25 21:00:00,8.22
1996-03-25 23:00:00,4.18
1996-03-26 01:00:00,3.37
1996-03-26 03:00:00,5.19
1996-03-26 05:00:00,2.67
1996-03-26 09:00:00,0.24
1996-03-26 21:00:00,2.16
1996-03-26 23:00:00,2.16
1996-03-27 01:00:00,2.67
1996-03-27 03:00:00,2.67
1996-03-27 05:00:00,0.65
1996-03-27 07:00:00,0.54
1996-04-09 23:00:00,3.68
1996-04-10 01:00:00,4.18
1996-04-10 03:00:00,4.99
1996-04-10 05:00:00,2.16
1996-04-10 07:00:00,0.54
1996-04-10 09:00:00,0.95
1996-04-10 11:00:00,1.15
1996-04-10 13:00:00,0.75
1996-04-10 15:00:00,0.14
1996-04-10 19:00:00,0.04
1996-04-10 21:00:00,1.15
1996-04-10 23:00:00,9.23
1996-04-11 01:00:00,1.15
1996-04-11 23:00:00,0.34
1996-04-12 03:00:00,1.66
1996-04-14 09:00:00,0.34
1996-04-14 19:00:00,0.14
1996-04-14 21:00:00,1.15
1996-04-15 01:00:00,1.66
1996-04-15 03:00:00,1.96
1996-04-15 05:00:00,0.95
1996-04-15 15:00:00,0.95
1996-04-16 01:00:00,0.24
1996-04-16 03:00:00,0.75
1996-04-16 15:00:00,1.35
1996-04-16 19:00:00,1.45
1996-04-16 21:00:00,2.36
1996-04-20 19:00:00,9.23
1996-04-20 21:00:00,3.17
1996-04-20 23:00:00,0.14
1996-04-21 19:00:00,3.17
1996-04-21 21:00:00,2.16
1996-04-21 23:00:00,0.54
1996-04-22 01:00:00,0.14
1996-04-22 19:00:00,4.58
1996-04-22 21:00:00,1.66
1996-04-22 23:00:00,1.15
1996-04-28 09:00:00,0.14
1996-04-28 11:00:00,0.04
1996-04-28 13:00:00,0.04
1996-04-28 15:00:00,0.14
1996-04-28 17:00:00,0.14
1996-04-28 19:00:00,0.24
1996-04-28 21:00:00,0.65
1996-04-28 23:00:00,0.65
1996-04-29 01:00:00,0.65
1996-04-29 03:00:00,0.85
1996-04-29 05:00:00,0.14
1996-04-29 13:00:00,0.04
1996-04-29 15:00:00,0.04
1996-04-29 17:00:00,0.04
1996-04-29 19:00:00,0.14
1996-04-29 21:00:00,0.04
1996-04-29 23:00:00,0.34
1996-04-30 01:00:00,0.75
1996-04-30 03:00:00,0.24
1996-04-30 05:00:00,0.04
1996-04-30 07:00:00,0.04
1996-04-30 09:00:00,0.04
1996-04-30 11:00:00,0.04
1996-04-30 13:00:00,0.34
1996-04-30 15:00:00,1.56
1996-04-30 17:00:00,1.25
1996-04-30 19:00:00,1.25
1996-04-30 21:00:00,0.95
1996-04-30 23:00:00,0.54
1996-05-01 01:00:00,0.65
1996-05-01 03:00:00,0.34
1996-05-01 05:00:00,0.04
1996-05-01 07:00:00,0.04
1996-05-05 19:00:00,6.2
1996-05-05 21:00:00,2.16
1996-05-05 23:00:00,0.54
1996-05-06 17:00:00,0.04
1996-05-06 19:00:00,5.7
1996-05-06 21:00:00,1.66
1996-05-06 23:00:00,3.17
1996-05-07 11:00:00,0.04
1996-05-07 17:00:00,0.04
1996-05-07 19:00:00,0.04
1996-05-07 21:00:00,0.04
1996-05-12 05:00:00,0.04
1996-05-12 17:00:00,0.04
1996-05-13 03:00:00,0.04
1996-05-13 05:00:00,0.04
1996-05-13 07:00:00,0.04
1996-05-13 11:00:00,0.04
1996-05-13 13:00:00,0.04
1996-05-13 21:00:00,0.04
1996-05-13 23:00:00,0.04
1996-05-14 01:00:00,0.04
1996-05-14 05:00:00,0.14
1996-05-19 09:00:00,0.04
1996-05-19 17:00:00,0.04
1996-05-19 19:00:00,0.14
1996-05-20 15:00:00,0.04
1996-05-20 19:00:00,0.04
1996-05-20 21:00:00,0.04
1996-05-27 09:00:00,0.04
1996-05-27 13:00:00,0.04
1996-05-27 15:00:00,0.04
1996-05-27 17:00:00,0.04
1996-05-28 03:00:00,0.14
1996-05-28 05:00:00,0.14
1996-05-28 09:00:00,0.04
1996-05-28 13:00:00,0.24
1996-05-28 15:00:00,0.14
1996-05-28 17:00:00,0.04
1996-05-28 21:00:00,0.04
1996-05-28 23:00:00,0.04
1996-05-29 01:00:00,0.04
1996-05-29 13:00:00,0.14
1996-05-29 15:00:00,0.14
1996-05-29 17:00:00,0.14
1996-05-29 19:00:00,0.04
1996-05-29 21:00:00,0.04
1996-05-30 03:00:00,0.04
1996-06-25 05:00:00,0.04
1996-06-25 07:00:00,0.04
1996-06-25 09:00:00,0.04
1996-06-25 11:00:00,0.04
1996-06-25 13:00:00,0.04
1996-06-25 15:00:00,0.14
1996-06-25 17:00:00,0.04
1996-06-25 19:00:00,0.04
1996-06-25 21:00:00,0.04
1996-06-25 23:00:00,0.04
1996-06-26 01:00:00,0.04
1996-06-26 03:00:00,0.14
