datetime,man
1998-03-15 03:00:00,0.1
1998-03-15 05:00:00,0.2
1998-03-15 07:00:00,0.5
1998-03-15 09:00:00,0.6
1998-03-15 11:00:00,0.2
1998-03-15 13:00:00,0.1
1998-03-15 17:00:00,0.2
1998-03-15 19:00:00,0.6
1998-03-15 21:00:00,0.7
1998-03-15 23:00:00,0.1
1998-03-16 05:00:00,0.2
1998-03-16 07:00:00,0.4
1998-03-16 09:00:00,0.7
1998-03-16 11:00:00,0.4
1998-03-16 13:00:00,0.1
1998-03-16 17:00:00,0.1
1998-03-16 19:00:00,0.9
1998-03-16 21:00:00,0.7
1998-03-16 23:00:00,0.4
1998-03-17 01:00:00,0.1
1998-03-17 05:00:00,0.2
1998-03-17 07:00:00,0.4
1998-03-17 09:00:00,0.5
1998-03-17 11:00:00,0.4
1998-03-17 13:00:00,0.3
1998-03-17 15:00:00,0.1
1998-03-17 17:00:00,0.2
1998-03-17 19:00:00,0.4
1998-03-17 21:00:00,0.6
1998-03-17 23:00:00,0.6
1998-03-20 01:00:00,0.1
1998-03-20 09:00:00,0.1
1998-03-20 11:00:00,0.2
1998-03-20 13:00:00,0.2
1998-03-20 15:00:00,0.1
1998-03-20 17:00:00,0.1
1998-03-20 19:00:00,0.3
1998-03-20 21:00:00,0.4
1998-03-20 23:00:00,0.2
1998-03-21 01:00:00,0.1
1998-03-21 11:00:00,0.1
1998-03-21 13:00:00,0.1
1998-03-21 15:00:00,0.1
1998-03-21 17:00:00,0.1
1998-03-21 19:00:00,0.1
1998-03-21 21:00:00,0.2
1998-03-21 23:00:00,0.1
1998-03-22 01:00:00,0.1
1998-03-22 13:00:00,0.1
1998-03-22 15:00:00,0.1
1998-03-22 17:00:00,0.2
1998-03-22 19:00:00,0.3
1998-03-22 21:00:00,0.6
1998-03-22 23:00:00,0.4
1998-04-01 01:00:00,4.6
1998-04-01 03:00:00,3.7
1998-04-01 05:00:00,3.5
1998-04-01 07:00:00,4.8
1998-04-01 09:00:00,5.7
1998-04-01 11:00:00,5.7
1998-04-01 13:00:00,5.8
1998-04-01 15:00:00,4.8
1998-04-01 17:00:00,4.2
1998-04-01 19:00:00,4.8
1998-04-01 21:00:00,5.7
1998-04-01 23:00:00,5.6
1998-04-02 01:00:00,5.2
1998-04-02 03:00:00,4.7
1998-04-02 05:00:00,4.1
1998-04-02 07:00:00,4.3
1998-04-02 09:00:00,5.3
1998-04-02 11:00:00,5.8
1998-04-02 13:00:00,5.8
1998-04-02 15:00:00,5.3
