datetime,man
1996-04-06 09:00:00,27.8
1996-04-06 11:00:00,27.9
1996-04-06 13:00:00,27.8
1996-04-06 15:00:00,27.8
1996-04-06 17:00:00,28.0
1996-04-06 19:00:00,28.1
1996-04-06 21:00:00,27.8
1996-04-06 23:00:00,27.8
1996-04-07 01:00:00,27.5
1996-04-07 03:00:00,27.6
1996-04-07 05:00:00,27.8
1996-04-07 07:00:00,27.8
1996-04-07 09:00:00,28.8
1996-04-07 11:00:00,27.6
1996-04-07 13:00:00,27.8
1996-04-07 15:00:00,27.8
1996-04-07 17:00:00,28.0
1996-04-07 19:00:00,28.2
1996-04-07 21:00:00,28.0
1996-04-07 23:00:00,28.1
1996-04-08 01:00:00,27.8
1996-04-08 03:00:00,27.5
1996-04-08 05:00:00,27.2
1996-04-08 07:00:00,27.2
1996-04-08 09:00:00,27.5
1996-04-08 11:00:00,27.3
1996-04-08 13:00:00,27.2
1996-04-08 15:00:00,27.3
1996-04-08 17:00:00,27.5
1996-04-08 19:00:00,28.2
1996-04-08 21:00:00,28.2
1996-04-08 23:00:00,28.0
1996-04-09 01:00:00,27.0
1996-04-09 03:00:00,27.0
1996-04-09 05:00:00,23.9
1996-04-09 07:00:00,27.0
1996-04-11 09:00:00,27.3
1996-04-11 11:00:00,27.3
1996-04-11 13:00:00,27.5
1996-04-11 15:00:00,27.5
1996-04-11 17:00:00,27.5
1996-04-11 19:00:00,28.0
1996-04-11 21:00:00,27.6
1996-04-11 23:00:00,27.3
1996-04-12 01:00:00,27.2
1996-04-12 03:00:00,27.6
1996-04-12 05:00:00,27.6
1996-04-12 07:00:00,26.9
1996-04-12 09:00:00,26.7
1996-04-12 11:00:00,26.7
1996-04-12 13:00:00,26.9
1996-04-12 15:00:00,27.0
1996-04-12 17:00:00,27.0
1996-04-12 19:00:00,27.1
1996-04-12 21:00:00,27.1
1996-04-12 23:00:00,27.1
1996-04-13 01:00:00,27.2
1996-04-13 03:00:00,27.5
1996-04-13 05:00:00,27.1
1996-04-13 07:00:00,27.1
1996-04-13 09:00:00,26.9
1996-04-13 11:00:00,27.0
1996-04-13 13:00:00,27.2
1996-04-13 15:00:00,27.4
1996-04-13 17:00:00,27.6
1996-04-13 19:00:00,27.5
1996-04-13 21:00:00,27.5
1996-04-13 23:00:00,27.5
1996-04-14 01:00:00,27.3
1996-04-14 03:00:00,27.2
1996-04-14 05:00:00,27.2
1996-04-14 07:00:00,27.2
1996-04-19 09:00:00,25.9
1996-04-19 11:00:00,25.5
1996-04-19 13:00:00,25.9
1996-04-19 15:00:00,26.2
1996-04-19 17:00:00,27.0
1996-04-19 19:00:00,27.0
1996-04-19 21:00:00,26.1
1996-04-19 23:00:00,25.6
1996-04-20 01:00:00,25.5
1996-04-20 03:00:00,25.1
1996-04-20 05:00:00,25.2
1996-04-20 07:00:00,25.7
1996-04-20 09:00:00,25.9
1996-04-20 11:00:00,25.7
1996-04-20 13:00:00,26.0
1996-04-20 15:00:00,26.1
1996-04-20 17:00:00,27.1
1996-04-20 19:00:00,27.2
1996-04-20 21:00:00,27.1
1996-04-20 23:00:00,26.1
1996-04-21 01:00:00,25.8
1996-04-21 03:00:00,26.3
1996-04-21 05:00:00,26.2
1996-04-21 07:00:00,26.2
1996-04-21 09:00:00,24.9
1996-04-21 11:00:00,26.5
1996-04-21 13:00:00,26.5
1996-04-21 15:00:00,26.1
1996-04-21 17:00:00,26.5
1996-04-21 19:00:00,27.0
1996-04-21 21:00:00,25.5
1996-04-21 23:00:00,26.3
1996-04-22 01:00:00,26.0
1996-04-22 03:00:00,25.9
1996-04-22 05:00:00,25.0
1996-04-22 07:00:00,26.8
1996-04-26 09:00:00,24.5
1996-04-26 11:00:00,24.9
1996-04-26 13:00:00,24.8
1996-04-26 15:00:00,25.0
1996-04-26 17:00:00,25.0
1996-04-26 19:00:00,26.0
1996-04-26 21:00:00,26.8
1996-04-26 23:00:00,26.6
1996-04-27 01:00:00,26.0
1996-04-27 03:00:00,24.9
1996-04-27 05:00:00,24.8
1996-04-27 07:00:00,24.8
1996-04-27 09:00:00,24.5
1996-04-27 11:00:00,24.5
1996-04-27 13:00:00,24.7
1996-04-27 15:00:00,25.0
1996-04-27 17:00:00,25.1
1996-04-27 19:00:00,25.1
1996-04-27 21:00:00,26.0
1996-04-27 23:00:00,26.0
1996-04-28 01:00:00,25.1
1996-04-28 03:00:00,23.9
1996-04-28 05:00:00,24.2
1996-04-28 07:00:00,26.2
1996-04-28 09:00:00,24.5
1996-04-28 11:00:00,24.1
1996-04-28 13:00:00,24.2
1996-04-28 15:00:00,25.0
1996-04-28 17:00:00,25.2
1996-04-28 19:00:00,25.1
1996-04-28 21:00:00,24.8
1996-04-28 23:00:00,25.2
1996-04-29 01:00:00,24.8
1996-04-29 03:00:00,24.8
1996-04-29 05:00:00,24.8
1996-04-29 07:00:00,24.8
1996-05-05 09:00:00,20.4
1996-05-05 11:00:00,21.3
1996-05-05 13:00:00,21.4
1996-05-05 15:00:00,20.4
1996-05-05 17:00:00,26.8
1996-05-05 19:00:00,27.2
1996-05-05 21:00:00,26.3
1996-05-05 23:00:00,24.0
1996-05-06 01:00:00,21.5
1996-05-06 03:00:00,20.9
1996-05-06 05:00:00,20.9
1996-05-06 07:00:00,21.0
1996-05-06 09:00:00,27.0
1996-05-06 11:00:00,27.1
1996-05-06 13:00:00,23.6
1996-05-06 15:00:00,21.3
1996-05-06 17:00:00,21.1
1996-05-06 19:00:00,21.2
1996-05-06 21:00:00,26.9
1996-05-06 23:00:00,25.5
1996-05-07 01:00:00,23.3
1996-05-07 03:00:00,20.9
1996-05-07 05:00:00,20.3
1996-05-07 07:00:00,20.2
1996-05-07 09:00:00,27.0
1996-05-07 11:00:00,26.3
1996-05-07 13:00:00,21.5
1996-05-07 15:00:00,20.8
1996-05-07 17:00:00,20.8
1996-05-07 19:00:00,20.7
1996-05-07 21:00:00,26.5
1996-05-07 23:00:00,26.1
1996-05-08 01:00:00,22.9
1996-05-08 03:00:00,20.3
1996-05-08 05:00:00,19.8
1996-05-08 07:00:00,19.7
1996-05-12 09:00:00,19.0
1996-05-12 11:00:00,18.9
1996-05-12 13:00:00,19.2
1996-05-12 15:00:00,22.6
1996-05-12 17:00:00,22.8
1996-05-12 19:00:00,22.2
1996-05-12 21:00:00,20.0
1996-05-12 23:00:00,19.9
1996-05-13 01:00:00,19.6
1996-05-13 03:00:00,19.5
1996-05-13 05:00:00,19.0
1996-05-13 07:00:00,19.0
1996-05-13 09:00:00,20.8
1996-05-13 11:00:00,24.5
1996-05-13 13:00:00,24.8
1996-05-13 15:00:00,23.9
1996-05-13 17:00:00,20.3
1996-05-13 19:00:00,20.0
1996-05-13 21:00:00,20.8
1996-05-13 23:00:00,19.5
1996-05-14 01:00:00,19.4
1996-05-14 03:00:00,19.5
1996-05-14 05:00:00,19.3
1996-05-14 07:00:00,19.2
1996-05-14 09:00:00,22.2
1996-05-14 11:00:00,24.3
1996-05-14 13:00:00,24.8
1996-05-14 15:00:00,24.2
1996-05-14 17:00:00,20.3
1996-05-14 19:00:00,19.2
1996-05-14 21:00:00,20.2
1996-05-14 23:00:00,19.5
1996-05-15 01:00:00,19.0
1996-05-15 03:00:00,18.2
1996-05-15 05:00:00,18.2
1996-05-15 07:00:00,18.1
1996-05-18 09:00:00,15.1
1996-05-18 11:00:00,15.9
1996-05-18 13:00:00,16.6
1996-05-18 15:00:00,21.4
1996-05-18 17:00:00,23.5
1996-05-18 19:00:00,23.9
1996-05-18 21:00:00,22.1
1996-05-18 23:00:00,18.0
1996-05-19 01:00:00,15.9
1996-05-19 03:00:00,14.7
1996-05-19 05:00:00,14.5
1996-05-19 07:00:00,14.6
1996-05-19 09:00:00,22.7
1996-05-19 11:00:00,22.9
1996-05-19 13:00:00,16.9
1996-05-19 15:00:00,15.0
1996-05-19 17:00:00,15.2
1996-05-19 19:00:00,15.8
1996-05-19 21:00:00,18.9
1996-05-19 23:00:00,16.4
1996-05-20 01:00:00,14.6
1996-05-20 03:00:00,13.8
1996-05-20 05:00:00,13.8
1996-05-20 07:00:00,13.8
1996-05-20 09:00:00,22.5
1996-05-20 11:00:00,24.9
1996-05-20 13:00:00,22.1
1996-05-20 15:00:00,20.5
1996-05-20 17:00:00,15.0
1996-05-20 19:00:00,18.4
1996-05-20 21:00:00,14.8
1996-05-20 23:00:00,14.9
1996-05-21 01:00:00,15.0
1996-05-21 03:00:00,13.5
1996-05-21 05:00:00,13.2
1996-05-21 07:00:00,13.2
1996-05-25 09:00:00,12.4
1996-05-25 11:00:00,12.2
1996-05-25 13:00:00,12.0
1996-05-25 15:00:00,12.2
1996-05-25 17:00:00,13.9
1996-05-25 19:00:00,12.0
1996-05-25 21:00:00,11.8
1996-05-25 23:00:00,10.9
1996-05-26 01:00:00,11.3
1996-05-26 03:00:00,10.4
1996-05-26 05:00:00,10.4
1996-05-26 07:00:00,10.4
1996-05-26 09:00:00,10.6
1996-05-26 11:00:00,11.7
1996-05-26 13:00:00,17.9
1996-05-26 15:00:00,22.6
1996-05-26 17:00:00,22.6
1996-05-26 19:00:00,21.8
1996-05-26 21:00:00,16.0
1996-05-26 23:00:00,14.8
1996-05-27 01:00:00,12.4
1996-05-27 03:00:00,11.3
1996-05-27 05:00:00,11.2
1996-05-27 07:00:00,11.3
1996-05-27 09:00:00,16.2
1996-05-27 11:00:00,16.3
1996-05-27 13:00:00,21.0
1996-05-27 15:00:00,24.3
1996-05-27 17:00:00,25.7
1996-05-27 19:00:00,21.1
1996-05-27 21:00:00,19.6
1996-05-27 23:00:00,12.2
1996-05-28 01:00:00,11.0
1996-05-28 03:00:00,10.8
1996-05-28 05:00:00,11.0
1996-05-28 07:00:00,13.8
1996-06-03 09:00:00,23.3
1996-06-03 11:00:00,21.6
1996-06-03 13:00:00,10.3
1996-06-03 15:00:00,10.0
1996-06-03 17:00:00,10.2
1996-06-03 19:00:00,23.1
1996-06-03 21:00:00,22.2
1996-06-03 23:00:00,21.0
1996-06-04 01:00:00,14.9
1996-06-04 03:00:00,10.3
1996-06-04 05:00:00,10.2
1996-06-04 07:00:00,10.1
1996-06-04 09:00:00,10.1
1996-06-04 11:00:00,10.0
1996-06-04 13:00:00,9.7
1996-06-04 15:00:00,18.0
1996-06-04 17:00:00,23.1
1996-06-04 19:00:00,24.0
1996-06-04 21:00:00,23.8
1996-06-04 23:00:00,21.1
1996-06-05 01:00:00,16.0
1996-06-05 03:00:00,11.3
1996-06-05 05:00:00,11.0
1996-06-05 07:00:00,10.5
1996-06-05 09:00:00,10.3
1996-06-05 11:00:00,10.2
1996-06-05 13:00:00,10.2
1996-06-05 15:00:00,11.2
1996-06-05 17:00:00,20.6
1996-06-05 19:00:00,23.9
1996-06-05 21:00:00,22.4
1996-06-05 23:00:00,20.2
1996-06-06 01:00:00,15.9
1996-06-06 03:00:00,10.9
1996-06-06 05:00:00,11.2
1996-06-06 07:00:00,10.0
1996-06-09 09:00:00,12.6
1996-06-09 11:00:00,14.9
1996-06-09 13:00:00,17.0
1996-06-09 15:00:00,15.2
1996-06-09 17:00:00,14.2
1996-06-09 19:00:00,13.4
1996-06-09 21:00:00,13.4
1996-06-09 23:00:00,13.0
1996-06-10 01:00:00,12.8
1996-06-10 03:00:00,12.0
1996-06-10 05:00:00,11.9
1996-06-10 07:00:00,11.9
1996-06-10 09:00:00,12.2
1996-06-10 11:00:00,14.1
1996-06-10 13:00:00,14.7
1996-06-10 15:00:00,14.0
1996-06-10 17:00:00,13.3
1996-06-10 19:00:00,13.0
1996-06-10 21:00:00,12.6
1996-06-10 23:00:00,12.3
1996-06-11 01:00:00,12.0
1996-06-11 03:00:00,12.0
1996-06-11 05:00:00,12.0
1996-06-11 07:00:00,10.3
1996-06-11 09:00:00,13.7
1996-06-11 11:00:00,23.0
1996-06-11 13:00:00,24.1
1996-06-11 15:00:00,24.2
1996-06-11 17:00:00,22.4
1996-06-11 19:00:00,18.8
1996-06-11 21:00:00,16.0
1996-06-11 23:00:00,14.0
1996-06-12 01:00:00,13.7
1996-06-12 03:00:00,10.5
1996-06-12 05:00:00,10.3
1996-06-12 07:00:00,10.6
1996-06-18 09:00:00,7.8
1996-06-18 11:00:00,8.3
1996-06-18 13:00:00,8.0
1996-06-18 15:00:00,7.4
1996-06-18 17:00:00,10.1
1996-06-18 19:00:00,8.2
1996-06-18 21:00:00,8.2
1996-06-18 23:00:00,8.0
1996-06-19 01:00:00,6.3
1996-06-19 03:00:00,6.1
1996-06-19 05:00:00,5.7
1996-06-19 07:00:00,5.7
1996-06-19 09:00:00,6.0
1996-06-19 11:00:00,6.3
