datetime,man
1996-02-07 09:00:00,4.5
1996-02-07 11:00:00,4.5
1996-02-07 13:00:00,4.3
1996-02-07 15:00:00,4.3
1996-02-07 17:00:00,4.5
1996-02-07 19:00:00,4.5
1996-02-07 21:00:00,4.3
1996-02-07 23:00:00,4.3
1996-02-08 01:00:00,4.0
1996-02-08 03:00:00,4.0
1996-02-08 05:00:00,4.0
1996-02-08 07:00:00,3.9
1996-02-08 09:00:00,3.9
1996-02-08 11:00:00,4.0
1996-02-08 13:00:00,3.6
1996-02-08 15:00:00,3.1
1996-02-08 17:00:00,4.3
1996-02-08 19:00:00,4.7
1996-02-08 21:00:00,4.5
1996-02-08 23:00:00,4.1
1996-02-09 01:00:00,4.2
1996-02-09 03:00:00,3.9
1996-02-09 05:00:00,3.7
1996-02-09 07:00:00,3.4
1996-02-09 09:00:00,3.0
1996-02-09 11:00:00,4.0
1996-02-09 13:00:00,3.8
1996-02-09 15:00:00,3.7
1996-02-09 17:00:00,3.9
1996-02-09 19:00:00,3.9
1996-02-09 21:00:00,3.7
1996-02-09 23:00:00,3.6
1996-02-10 01:00:00,3.7
1996-02-10 03:00:00,3.9
1996-02-10 05:00:00,3.9
1996-02-10 07:00:00,3.9
1996-02-10 09:00:00,3.9
1996-02-10 11:00:00,3.8
1996-02-10 13:00:00,3.9
1996-02-10 15:00:00,4.0
1996-02-10 17:00:00,3.9
1996-02-10 19:00:00,4.0
1996-02-10 21:00:00,4.0
1996-02-10 23:00:00,3.7
1996-02-11 01:00:00,3.9
1996-02-11 03:00:00,3.8
1996-02-11 05:00:00,4.0
1996-02-11 07:00:00,4.0
1996-02-11 09:00:00,3.7
1996-02-11 11:00:00,3.9
1996-02-11 13:00:00,3.9
1996-02-11 15:00:00,3.6
1996-02-11 17:00:00,4.0
1996-02-11 19:00:00,3.9
1996-02-11 21:00:00,3.9
1996-02-11 23:00:00,3.6
1996-02-12 01:00:00,3.6
1996-02-12 03:00:00,3.9
1996-02-12 05:00:00,3.9
1996-02-12 07:00:00,2.9
1996-02-12 09:00:00,4.0
1996-02-12 11:00:00,3.5
1996-02-12 13:00:00,3.7
