datetime,man
1995-02-02 01:00:00,17.0
1995-02-02 02:00:00,17.8
1995-02-02 03:00:00,18.1
1995-02-02 04:00:00,17.1
1995-02-02 05:00:00,16.6
1995-02-02 06:00:00,15.5
1995-02-02 07:00:00,15.3
1995-02-02 08:00:00,16.1
1995-02-02 09:00:00,14.5
1995-02-02 10:00:00,16.9
1995-02-02 11:00:00,16.9
1995-02-02 12:00:00,17.1
1995-02-02 13:00:00,17.2
1995-02-02 14:00:00,18.4
1995-02-02 15:00:00,18.3
1995-02-02 16:00:00,19.1
1995-02-02 17:00:00,18.0
1995-02-02 18:00:00,16.5
1995-02-02 19:00:00,16.6
1995-02-02 20:00:00,17.3
1995-02-02 21:00:00,17.4
1995-02-02 22:00:00,16.6
1995-02-02 23:00:00,16.3
1995-02-03 00:00:00,15.9
1995-02-09 01:00:00,10.2
1995-02-09 02:00:00,10.3
1995-02-09 03:00:00,10.0
1995-02-09 04:00:00,10.3
1995-02-09 05:00:00,10.5
1995-02-09 06:00:00,10.7
1995-02-09 07:00:00,10.6
1995-02-09 08:00:00,11.2
1995-02-09 09:00:00,11.1
1995-02-09 10:00:00,11.1
1995-02-09 11:00:00,10.5
1995-02-09 12:00:00,10.6
1995-02-09 13:00:00,10.8
1995-02-09 14:00:00,11.3
1995-02-09 15:00:00,11.2
1995-02-09 16:00:00,11.0
1995-02-09 17:00:00,11.4
1995-02-09 18:00:00,11.5
1995-02-09 19:00:00,11.8
1995-02-09 20:00:00,12.9
1995-02-09 21:00:00,11.8
1995-02-09 22:00:00,11.3
1995-02-09 23:00:00,11.5
1995-02-10 00:00:00,11.3
1995-02-19 01:00:00,17.3
1995-02-19 02:00:00,17.3
1995-02-19 03:00:00,17.4
1995-02-19 04:00:00,17.1
1995-02-19 05:00:00,17.0
1995-02-19 06:00:00,16.9
1995-02-19 07:00:00,17.1
1995-02-19 08:00:00,17.3
1995-02-19 09:00:00,17.2
1995-02-19 10:00:00,17.4
1995-02-19 11:00:00,17.4
1995-02-19 12:00:00,17.5
1995-02-19 13:00:00,17.0
1995-02-19 14:00:00,17.1
1995-02-19 15:00:00,17.2
1995-02-19 16:00:00,16.9
1995-02-19 17:00:00,16.7
1995-02-19 18:00:00,16.9
1995-02-19 19:00:00,16.8
1995-02-19 20:00:00,17.1
1995-02-19 21:00:00,17.3
1995-02-19 22:00:00,17.3
1995-02-19 23:00:00,17.2
1995-02-20 00:00:00,17.2
1995-02-23 01:00:00,14.8
1995-02-23 02:00:00,15.1
1995-02-23 03:00:00,15.5
1995-02-23 04:00:00,15.6
1995-02-23 05:00:00,15.3
1995-02-23 06:00:00,15.1
1995-02-23 07:00:00,14.9
1995-02-23 08:00:00,14.3
1995-02-23 09:00:00,13.7
1995-02-23 10:00:00,13.0
1995-02-23 11:00:00,12.7
1995-02-23 12:00:00,12.8
1995-02-23 13:00:00,12.8
1995-02-23 14:00:00,13.1
1995-02-23 15:00:00,13.3
1995-02-23 16:00:00,13.0
1995-02-23 17:00:00,13.1
1995-02-23 18:00:00,12.9
1995-02-23 19:00:00,12.9
1995-02-23 20:00:00,12.2
1995-02-23 21:00:00,12.0
1995-02-23 22:00:00,12.5
1995-02-23 23:00:00,13.0
1995-02-24 00:00:00,12.8
1995-03-04 01:00:00,17.3
1995-03-04 02:00:00,17.2
1995-03-04 03:00:00,16.6
1995-03-04 04:00:00,16.2
1995-03-04 05:00:00,16.3
1995-03-04 06:00:00,17.3
1995-03-04 07:00:00,17.0
1995-03-04 08:00:00,18.3
1995-03-04 09:00:00,18.9
1995-03-04 10:00:00,18.9
1995-03-04 11:00:00,18.3
1995-03-04 12:00:00,17.0
1995-03-04 13:00:00,16.3
1995-03-04 14:00:00,15.9
1995-03-04 15:00:00,16.1
1995-03-04 16:00:00,16.8
1995-03-04 17:00:00,17.5
1995-03-04 18:00:00,17.1
1995-03-04 19:00:00,17.5
1995-03-04 20:00:00,17.9
1995-03-04 21:00:00,18.0
1995-03-04 22:00:00,17.9
1995-03-04 23:00:00,18.2
1995-03-05 00:00:00,18.1
1995-03-10 01:00:00,17.6
1995-03-10 02:00:00,17.5
1995-03-10 03:00:00,17.7
1995-03-10 04:00:00,17.6
1995-03-10 05:00:00,16.8
1995-03-10 06:00:00,17.0
1995-03-10 07:00:00,16.3
1995-03-10 08:00:00,15.5
1995-03-10 09:00:00,14.7
1995-03-10 10:00:00,14.5
1995-03-10 11:00:00,16.0
1995-03-10 12:00:00,16.3
1995-03-10 13:00:00,17.1
1995-03-10 14:00:00,17.7
1995-03-10 15:00:00,18.0
1995-03-10 16:00:00,17.9
1995-03-10 17:00:00,17.1
1995-03-10 18:00:00,16.7
1995-03-10 19:00:00,16.7
1995-03-10 20:00:00,16.3
1995-03-10 21:00:00,15.9
1995-03-10 22:00:00,16.1
1995-03-10 23:00:00,16.2
1995-03-11 00:00:00,16.3
1995-03-20 01:00:00,18.9
1995-03-20 02:00:00,19.3
1995-03-20 03:00:00,20.7
1995-03-20 04:00:00,20.6
1995-03-20 05:00:00,21.0
1995-03-20 06:00:00,21.3
1995-03-20 07:00:00,21.2
1995-03-20 08:00:00,20.7
1995-03-20 09:00:00,20.9
1995-03-20 10:00:00,20.8
1995-03-20 11:00:00,20.3
1995-03-20 12:00:00,18.7
1995-03-20 13:00:00,19.3
1995-03-20 14:00:00,19.6
1995-03-20 15:00:00,20.7
1995-03-20 16:00:00,21.1
1995-03-20 17:00:00,21.7
1995-03-20 18:00:00,21.3
1995-03-20 19:00:00,21.2
1995-03-20 20:00:00,20.9
1995-03-20 21:00:00,20.5
1995-03-20 22:00:00,20.8
1995-03-20 23:00:00,20.1
1995-03-21 00:00:00,19.8
1995-03-26 01:00:00,19.0
1995-03-26 02:00:00,18.6
1995-03-26 03:00:00,18.4
1995-03-26 04:00:00,18.3
1995-03-26 05:00:00,17.5
1995-03-26 06:00:00,16.3
1995-03-26 07:00:00,17.0
1995-03-26 08:00:00,16.0
1995-03-26 09:00:00,16.9
1995-03-26 10:00:00,17.1
1995-03-26 11:00:00,17.2
1995-03-26 12:00:00,17.4
1995-03-26 13:00:00,17.4
1995-03-26 14:00:00,17.6
1995-03-26 15:00:00,18.6
1995-03-26 16:00:00,18.8
1995-03-26 17:00:00,19.4
1995-03-26 18:00:00,19.4
1995-03-26 19:00:00,19.6
1995-03-26 20:00:00,19.5
1995-03-26 21:00:00,19.7
1995-03-26 22:00:00,19.6
1995-03-26 23:00:00,19.6
1995-03-27 00:00:00,19.4
1995-04-03 01:00:00,18.9
1995-04-03 02:00:00,19.3
1995-04-03 03:00:00,19.4
1995-04-03 04:00:00,19.3
1995-04-03 05:00:00,19.3
1995-04-03 06:00:00,19.9
1995-04-03 07:00:00,19.7
1995-04-03 08:00:00,19.5
1995-04-03 09:00:00,19.1
1995-04-03 10:00:00,18.9
1995-04-03 11:00:00,19.3
1995-04-03 12:00:00,19.9
1995-04-03 13:00:00,20.2
1995-04-03 14:00:00,20.6
1995-04-03 15:00:00,21.2
1995-04-03 16:00:00,20.6
1995-04-03 17:00:00,20.7
1995-04-03 18:00:00,20.0
1995-04-03 19:00:00,19.7
1995-04-03 20:00:00,20.1
1995-04-03 21:00:00,19.8
1995-04-03 22:00:00,19.0
1995-04-03 23:00:00,18.7
1995-04-04 00:00:00,18.5
1995-04-10 01:00:00,16.8
1995-04-10 02:00:00,17.0
1995-04-10 03:00:00,17.4
1995-04-10 04:00:00,17.6
1995-04-10 05:00:00,17.8
1995-04-10 06:00:00,17.9
1995-04-10 07:00:00,17.7
1995-04-10 08:00:00,18.0
1995-04-10 09:00:00,17.9
1995-04-10 10:00:00,17.7
1995-04-10 11:00:00,18.0
1995-04-10 12:00:00,17.0
1995-04-10 13:00:00,16.8
1995-04-10 14:00:00,16.0
1995-04-10 15:00:00,15.4
1995-04-10 16:00:00,15.4
1995-04-10 17:00:00,15.5
1995-04-10 18:00:00,15.4
1995-04-10 19:00:00,15.7
1995-04-10 20:00:00,15.6
1995-04-10 21:00:00,14.2
1995-04-10 22:00:00,13.5
1995-04-10 23:00:00,13.7
1995-04-11 00:00:00,14.8
1995-04-18 01:00:00,21.1
1995-04-18 02:00:00,21.3
1995-04-18 03:00:00,20.6
1995-04-18 04:00:00,20.1
1995-04-18 05:00:00,20.0
1995-04-18 06:00:00,20.4
1995-04-18 07:00:00,21.2
1995-04-18 08:00:00,22.2
1995-04-18 09:00:00,23.6
1995-04-18 10:00:00,24.1
1995-04-18 11:00:00,24.5
1995-04-18 12:00:00,24.1
1995-04-18 13:00:00,24.3
1995-04-18 14:00:00,24.2
1995-04-18 15:00:00,24.0
1995-04-18 16:00:00,23.3
1995-04-18 17:00:00,23.2
1995-04-18 18:00:00,23.3
1995-04-18 19:00:00,23.5
1995-04-18 20:00:00,23.5
1995-04-18 21:00:00,23.4
1995-04-18 22:00:00,23.4
1995-04-18 23:00:00,23.5
1995-04-19 00:00:00,23.6
1995-04-24 01:00:00,21.8
1995-04-24 02:00:00,21.9
1995-04-24 03:00:00,21.9
1995-04-24 04:00:00,21.7
1995-04-24 05:00:00,22.1
1995-04-24 06:00:00,21.9
1995-04-24 07:00:00,21.9
1995-04-24 08:00:00,21.6
1995-04-24 09:00:00,21.8
1995-04-24 10:00:00,21.7
1995-04-24 11:00:00,21.4
1995-04-24 12:00:00,21.3
1995-04-24 13:00:00,21.4
1995-04-24 14:00:00,21.4
1995-04-24 15:00:00,21.5
1995-04-24 16:00:00,21.4
1995-04-24 17:00:00,21.5
