datetime,man
1995-02-07 16:00:00,10.4
1995-02-07 17:00:00,10.0
1995-02-07 18:00:00,10.4
1995-02-07 23:00:00,9.5
1995-02-08 00:00:00,9.5
1995-02-08 01:00:00,6.4
1995-02-08 02:00:00,6.4
1995-02-17 04:00:00,6.4
1995-02-17 05:00:00,7.0
1995-02-17 06:00:00,6.5
1995-02-17 07:00:00,6.6
1995-02-17 21:00:00,6.5
1995-02-17 22:00:00,6.8
1995-02-17 23:00:00,6.8
1995-02-19 11:00:00,7.4
1995-02-19 12:00:00,7.4
1995-02-19 13:00:00,6.3
1995-02-19 18:00:00,6.0
1995-02-19 19:00:00,6.8
1995-02-19 20:00:00,7.0
1995-02-19 21:00:00,7.3
1995-02-28 02:00:00,8.0
1995-02-28 03:00:00,8.5
1995-02-28 04:00:00,9.4
1995-02-28 05:00:00,9.7
1995-02-28 19:00:00,9.4
1995-02-28 20:00:00,6.4
1995-02-28 21:00:00,6.4
1995-03-04 10:00:00,7.0
1995-03-04 11:00:00,7.3
1995-03-04 12:00:00,6.8
1995-03-04 18:00:00,4.4
1995-03-04 19:00:00,4.5
1995-03-04 20:00:00,5.4
1995-03-04 21:00:00,5.5
1995-03-14 02:00:00,9.5
1995-03-14 03:00:00,9.0
1995-03-14 04:00:00,9.5
1995-03-14 05:00:00,9.9
1995-03-14 19:00:00,11.1
1995-03-14 20:00:00,7.0
1995-03-14 21:00:00,9.2
1995-03-17 12:00:00,11.8
1995-03-17 13:00:00,11.8
1995-03-17 14:00:00,11.9
1995-03-17 17:00:00,11.5
1995-03-17 18:00:00,11.2
1995-03-17 19:00:00,11.6
1995-03-17 20:00:00,11.7
1995-03-24 15:00:00,17.0
1995-03-24 16:00:00,13.3
1995-03-24 17:00:00,14.6
1995-03-24 23:00:00,17.8
1995-03-25 00:00:00,18.5
1995-03-25 01:00:00,19.2
1995-03-25 02:00:00,19.3
1995-04-12 01:00:00,16.6
1995-04-12 02:00:00,17.0
1995-04-12 03:00:00,16.1
1995-04-12 04:00:00,16.7
1995-04-12 08:00:00,15.7
1995-04-12 09:00:00,15.6
1995-04-12 10:00:00,16.2
1995-04-19 13:00:00,16.7
1995-04-19 14:00:00,17.8
1995-04-19 15:00:00,17.3
1995-04-19 21:00:00,19.8
1995-04-19 22:00:00,22.1
1995-04-19 23:00:00,22.0
1995-04-20 00:00:00,18.3
1995-04-24 09:00:00,21.1
1995-04-24 10:00:00,19.8
1995-04-24 11:00:00,18.2
1995-04-25 02:00:00,19.8
1995-04-25 03:00:00,20.9
1995-04-25 04:00:00,23.0
1995-04-25 05:00:00,21.9
1995-05-01 09:00:00,18.4
1995-05-01 10:00:00,18.2
1995-05-01 11:00:00,18.0
1995-05-01 19:00:00,18.7
1995-05-01 20:00:00,18.7
1995-05-01 21:00:00,18.3
1995-05-01 22:00:00,20.9
1995-05-10 08:00:00,17.8
1995-05-10 09:00:00,17.9
1995-05-10 10:00:00,17.0
1995-05-10 18:00:00,18.6
1995-05-10 19:00:00,18.1
1995-05-10 20:00:00,18.8
1995-05-10 21:00:00,18.7
1995-05-18 13:00:00,14.6
1995-05-18 14:00:00,14.2
1995-05-18 15:00:00,14.4
1995-05-18 20:00:00,15.7
1995-05-18 21:00:00,15.6
1995-05-18 22:00:00,16.8
1995-05-18 23:00:00,16.7
1995-06-07 08:00:00,3.3
1995-06-07 09:00:00,4.6
1995-06-07 10:00:00,5.8
1995-06-07 17:00:00,5.8
1995-06-07 18:00:00,6.3
1995-06-07 19:00:00,6.4
1995-06-07 20:00:00,6.5
1995-06-14 11:00:00,5.9
1995-06-14 12:00:00,5.9
1995-06-14 13:00:00,5.1
1995-06-14 18:00:00,5.4
1995-06-14 19:00:00,6.4
1995-06-14 20:00:00,3.9
1995-06-14 21:00:00,6.0
1995-06-20 07:00:00,5.2
1995-06-20 08:00:00,3.9
1995-06-20 09:00:00,1.4
1995-06-20 11:00:00,3.2
1995-06-20 12:00:00,5.6
1995-06-20 13:00:00,3.4
1995-06-20 14:00:00,5.2
1995-07-02 05:00:00,1.2
1995-07-02 06:00:00,0.6
1995-07-02 07:00:00,1.0
1995-07-02 20:00:00,2.7
1995-07-02 21:00:00,2.8
1995-07-02 22:00:00,2.8
1995-07-02 23:00:00,2.6
1995-07-06 07:00:00,2.1
1995-07-06 08:00:00,1.6
1995-07-06 09:00:00,0.4
1995-07-06 11:00:00,1.4
1995-07-06 12:00:00,1.5
1995-07-06 13:00:00,1.4
1995-07-06 14:00:00,1.4
1995-07-13 11:00:00,1.8
1995-07-13 12:00:00,1.7
1995-07-13 13:00:00,1.6
1995-07-13 17:00:00,1.2
1995-07-13 18:00:00,1.4
1995-07-13 19:00:00,1.5
1995-07-13 20:00:00,1.5
1995-07-19 05:00:00,1.5
1995-07-19 06:00:00,1.7
1995-07-19 07:00:00,1.2
1995-07-19 15:00:00,0.2
1995-07-19 16:00:00,0.4
1995-07-19 17:00:00,0.4
1995-07-19 18:00:00,0.4
1995-07-29 10:00:00,1.9
1995-07-29 11:00:00,2.5
1995-07-29 12:00:00,5.0
1995-07-29 18:00:00,7.6
1995-07-29 19:00:00,4.9
1995-07-29 20:00:00,3.0
1995-07-29 21:00:00,1.6
1996-02-01 09:00:00,5.5
1996-02-01 11:00:00,6.7
1996-02-01 13:00:00,5.76
1996-02-01 15:00:00,4.82
1996-02-01 17:00:00,3.62
1996-02-01 19:00:00,2.0
1996-02-01 21:00:00,1.32
1996-02-01 23:00:00,2.43
1996-02-02 01:00:00,3.37
1996-02-02 03:00:00,4.56
1996-02-02 05:00:00,6.36
1996-02-02 07:00:00,6.27
1996-02-02 09:00:00,6.27
1996-02-02 11:00:00,6.1
1996-02-02 13:00:00,5.59
1996-02-02 15:00:00,5.85
1996-02-02 17:00:00,5.33
1996-02-02 19:00:00,3.79
1996-02-02 21:00:00,3.45
1996-02-02 23:00:00,3.88
1996-02-03 01:00:00,2.0
1996-02-03 03:00:00,3.28
1996-02-03 05:00:00,2.0
1996-02-03 07:00:00,6.96
1996-02-03 09:00:00,8.84
1996-02-03 11:00:00,7.98
1996-02-03 13:00:00,7.98
1996-02-03 15:00:00,6.87
1996-02-03 17:00:00,7.04
1996-02-03 19:00:00,7.21
1996-02-03 21:00:00,7.13
1996-02-03 23:00:00,2.85
1996-02-04 01:00:00,4.14
1996-02-04 03:00:00,4.31
1996-02-04 05:00:00,5.42
1996-02-04 07:00:00,7.98
1996-02-09 09:00:00,4.31
1996-02-09 11:00:00,3.88
1996-02-09 13:00:00,4.99
1996-02-09 15:00:00,6.02
1996-02-09 17:00:00,2.0
1996-02-09 19:00:00,2.0
1996-02-09 21:00:00,4.39
1996-02-09 23:00:00,4.31
1996-02-10 01:00:00,4.9
1996-02-10 03:00:00,5.33
1996-02-10 05:00:00,4.56
1996-02-10 07:00:00,4.9
1996-02-10 09:00:00,6.27
1996-02-10 11:00:00,4.74
1996-02-10 13:00:00,6.87
1996-02-10 15:00:00,5.85
1996-02-10 17:00:00,6.1
1996-02-10 19:00:00,6.02
1996-02-10 21:00:00,6.62
1996-02-10 23:00:00,8.58
1996-02-11 01:00:00,10.03
1996-02-11 03:00:00,9.69
1996-02-11 05:00:00,7.98
1996-02-11 07:00:00,10.55
1996-02-11 09:00:00,11.4
1996-02-11 11:00:00,12.26
1996-02-11 13:00:00,9.69
1996-02-11 15:00:00,9.09
1996-02-11 17:00:00,9.52
1996-02-11 19:00:00,8.67
1996-02-11 21:00:00,9.69
1996-02-11 23:00:00,10.03
1996-02-12 01:00:00,10.03
1996-02-12 03:00:00,10.38
1996-02-12 05:00:00,10.29
1996-02-12 07:00:00,8.84
1996-02-18 09:00:00,5.42
1996-02-18 11:00:00,4.74
1996-02-18 13:00:00,4.99
1996-02-18 15:00:00,4.22
1996-02-18 17:00:00,4.56
1996-02-18 19:00:00,3.45
1996-02-18 21:00:00,3.71
1996-02-18 23:00:00,5.42
1996-02-19 01:00:00,3.02
1996-02-19 03:00:00,3.28
1996-02-19 05:00:00,4.56
1996-02-19 07:00:00,4.56
1996-02-19 09:00:00,4.39
1996-02-19 11:00:00,3.54
1996-02-19 13:00:00,3.71
1996-02-19 15:00:00,4.39
1996-02-19 17:00:00,3.28
1996-02-19 19:00:00,2.85
1996-02-19 21:00:00,2.0
1996-02-19 23:00:00,1.4
1996-02-20 01:00:00,2.6
1996-02-20 03:00:00,1.57
1996-02-20 05:00:00,1.14
1996-02-20 07:00:00,2.0
1996-02-20 09:00:00,5.33
1996-02-20 11:00:00,4.48
1996-02-20 13:00:00,3.88
1996-02-20 15:00:00,4.99
1996-02-20 17:00:00,4.99
1996-02-20 19:00:00,5.5
1996-02-20 21:00:00,4.74
1996-02-20 23:00:00,4.14
1996-02-21 01:00:00,4.56
1996-02-21 03:00:00,5.16
1996-02-21 05:00:00,5.33
1996-02-21 07:00:00,4.74
1996-02-21 09:00:00,5.68
1996-02-21 11:00:00,4.99
1996-02-21 13:00:00,5.16
1996-02-21 15:00:00,4.74
1996-02-21 17:00:00,5.16
1996-02-21 19:00:00,5.42
1996-02-21 21:00:00,5.42
1996-02-21 23:00:00,5.33
1996-02-22 01:00:00,5.85
1996-02-22 03:00:00,5.25
1996-02-22 05:00:00,5.33
1996-02-22 07:00:00,5.33
1996-02-22 09:00:00,4.99
1996-02-22 11:00:00,5.33
1996-02-22 13:00:00,5.5
1996-02-22 15:00:00,5.59
1996-02-22 17:00:00,5.25
1996-02-22 19:00:00,5.5
1996-02-22 21:00:00,5.68
1996-02-22 23:00:00,5.42
1996-02-23 01:00:00,6.7
1996-02-23 03:00:00,5.85
1996-02-23 05:00:00,5.42
1996-02-23 07:00:00,5.59
1996-02-23 09:00:00,5.85
1996-02-23 11:00:00,7.9
1996-02-23 13:00:00,6.96
1996-02-23 15:00:00,7.04
1996-02-23 17:00:00,6.7
1996-02-23 19:00:00,6.87
1996-02-23 21:00:00,6.1
1996-02-23 23:00:00,6.36
1996-02-24 01:00:00,7.98
1996-02-24 03:00:00,9.69
1996-02-24 05:00:00,7.98
1996-02-24 07:00:00,8.15
1996-03-01 09:00:00,7.04
1996-03-01 11:00:00,7.56
1996-03-01 13:00:00,6.7
1996-03-01 15:00:00,6.27
1996-03-01 17:00:00,5.85
1996-03-01 19:00:00,6.27
1996-03-01 21:00:00,3.28
1996-03-01 23:00:00,3.79
1996-03-02 01:00:00,4.99
1996-03-02 03:00:00,6.1
1996-03-02 05:00:00,7.13
1996-03-02 07:00:00,3.71
1996-03-02 09:00:00,6.7
1996-03-02 11:00:00,6.7
1996-03-02 13:00:00,6.87
1996-03-02 15:00:00,6.44
1996-03-02 17:00:00,6.53
1996-03-02 19:00:00,6.36
1996-03-02 21:00:00,7.04
1996-03-02 23:00:00,6.19
1996-03-03 01:00:00,6.19
1996-03-03 03:00:00,7.04
1996-03-03 05:00:00,6.7
1996-03-03 07:00:00,9.26
1996-03-03 09:00:00,8.84
1996-03-03 11:00:00,8.5
1996-03-03 13:00:00,7.3
1996-03-03 15:00:00,8.75
1996-03-03 17:00:00,8.5
1996-03-03 19:00:00,7.9
1996-03-03 21:00:00,6.7
1996-03-03 23:00:00,6.27
1996-03-04 01:00:00,6.27
1996-03-04 03:00:00,6.7
1996-03-04 05:00:00,7.38
1996-03-04 07:00:00,7.9
1996-03-11 09:00:00,6.96
1996-03-11 11:00:00,11.4
1996-03-11 13:00:00,11.83
1996-03-11 15:00:00,11.83
1996-03-11 17:00:00,11.57
1996-03-11 19:00:00,8.67
1996-03-11 21:00:00,10.12
1996-03-11 23:00:00,12.17
1996-03-12 01:00:00,13.28
1996-03-12 03:00:00,13.54
1996-03-12 05:00:00,13.88
1996-03-12 07:00:00,13.88
1996-03-12 09:00:00,11.57
1996-03-12 11:00:00,10.72
1996-03-12 13:00:00,10.97
1996-03-12 15:00:00,12.08
1996-03-12 17:00:00,10.55
1996-03-12 19:00:00,8.07
